"Story","Title","Result","Date","Stability","Duration (s)"
"Calculator story","Show the result of addition between two numbers","ERROR","2020-05-05T16:39:00.762+07:00[Asia/Bangkok]","0.0","1.56"
"Calculator story","Show the result of multiply between two numbers","ERROR","2020-05-05T17:21:15.678+07:00[Asia/Bangkok]","0.0","10.5"
"Calculator story","Show the result of minus between two numbers","ERROR","2020-05-05T17:21:26.787+07:00[Asia/Bangkok]","0.0","5.56"
"Calculator story","Show the result of add between two numbers","ERROR","2020-05-05T17:21:32.458+07:00[Asia/Bangkok]","0.0","5.52"
"Calculator story","Show the result of divide between two numbers","ERROR","2020-05-05T17:21:38.094+07:00[Asia/Bangkok]","0.0","5.43"
